Iteration center_dist mem_frac noise_lower noise_upper c pm_scale MSD
" " "740 pc +/- 6 pc" "59.441 +/- 3.72" "558.479 +/- 51.528" "1576.504 +/- 77.034" "553.604 +/- 151.801" "2961.587 +/- 168.483" " "
27 744.0 61.0 502.0 1615.0 619.0 2881.0 148.9751
6 743.0 61.0 580.0 1492.0 588.0 2877.0 184.5025
9 743.0 61.0 568.0 1643.0 446.0 2888.0 193.2488
24 743.0 61.0 602.0 1628.0 612.0 2887.0 209.5274
4 744.0 61.0 521.0 1503.0 448.0 2903.0 224.4627
15 743.0 61.0 626.0 1527.0 381.0 2876.0 234.801
7 739.0 59.0 630.0 1691.0 828.0 2831.0 249.3234
17 743.0 61.0 500.0 1532.0 441.0 2880.0 267.4478
19 741.0 61.0 552.0 1509.0 579.0 2849.0 309.4428
16 742.0 61.0 502.0 1574.0 431.0 2882.0 318.2935
3 725.0 51.0 568.0 1625.0 763.0 3165.0 326.6169
12 739.0 59.0 595.0 1706.0 813.0 3089.0 334.6318
13 741.0 61.0 644.0 1517.0 434.0 2873.0 339.5871
26 741.0 61.0 496.0 1525.0 400.0 2917.0 361.3682
5 741.0 61.0 518.0 1509.0 435.0 2858.0 370.7015
28 746.0 64.0 545.0 1701.0 860.0 3352.0 378.3035
23 727.0 51.0 492.0 1631.0 535.0 3359.0 410.8756
29 729.0 51.0 525.0 1424.0 461.0 3196.0 412.2438
22 728.0 51.0 641.0 1556.0 386.0 3360.0 444.3433
