	center_dist	mem_frac	noise_lower	noise_upper	c	pm_scale	residual
0	729.9825416951137	53.49127084755681	633.3442894762509	2508.0621281576123	649.7202769920999	2901.020676875061	-1.0
1	1.4142135623730951	0.7071067811865476	108.89444430272832	156.97770542341354	306.1772362537751	528.208765546351	-1.0
2	746.0	58.0	546.0	1659.0	965.0	2851.0	496.8955223880597
3	729.0	53.0	648.0	2396.0	206.0	2750.0	419.97014925373134
4	745.0	58.0	626.0	1620.0	958.0	2756.0	697.5572139303482
5	745.0	62.0	638.0	2059.0	934.0	2542.0	216.71641791044777
6	791.0	63.0	720.0	1325.0	780.0	2805.0	205.13930348258705
7	729.0	53.0	709.0	2399.0	437.0	3268.0	50.11940298507463
8	731.0	54.0	555.0	2621.0	870.0	2521.0	51.90049751243781
9	729.0	53.0	524.0	2294.0	214.0	3245.0	805.2288557213931
10	729.0	53.0	577.0	2206.0	207.0	3255.0	569.0995024875622
11	736.0	58.0	641.0	2546.0	626.0	2763.0	155.7462686567164
12	744.0	58.0	567.0	1545.0	971.0	2796.0	760.5074626865671
13	733.0	56.0	690.0	1741.0	806.0	2559.0	427.3482587064677
14	767.0	58.0	688.0	1931.0	761.0	2371.0	50694.89552238806
15	761.0	61.0	588.0	1466.0	366.0	2707.0	219.39303482587064
16	753.0	61.0	590.0	1451.0	864.0	2698.0	310.2238805970149
