	center_dist	mem_frac	noise_lower	noise_upper	c	pm_scale	residual
0	3530.7806795057145	13.785293927571953	1902.3291170913437	6803.054806545484	588.5210948413112	7027.015256510906	-1.0
1	444.2107419886659	0.4462400602793823	207.5136881657463	133.40870292090864	354.55171571806443	1071.7506240018288	-1.0
2	2988.0	14.0	2140.0	6754.0	862.0	6089.0	16.388059701492537
3	4006.0	14.0	1680.0	6731.0	50.0	8368.0	14.243781094527364
4	3116.0	14.0	2018.0	6669.0	535.0	6048.0	21.258706467661693
5	3192.0	14.0	1986.0	7082.0	904.0	6746.0	29.402985074626866
6	3654.0	16.0	1934.0	6262.0	262.0	7457.0	107.33333333333333
7	3656.0	50.0	965.0	7242.0	205.0	8536.0	3302.5771144278606
8	3734.0	27.0	717.0	7396.0	584.0	8794.0	913.2139303482587
9	3719.0	27.0	786.0	7276.0	836.0	8716.0	831.1044776119403
10	3197.0	14.0	1941.0	7218.0	399.0	6620.0	57.21890547263681
11	4099.0	49.0	1302.0	9097.0	336.0	9887.0	2709.36815920398
12	3722.0	28.0	2125.0	6729.0	44.0	9117.0	627.8059701492538
13	3809.0	30.0	1242.0	7476.0	322.0	9046.0	1447.1940298507463
14	3235.0	14.0	1961.0	7312.0	696.0	6738.0	98.79601990049751
15	4298.0	49.0	1116.0	9379.0	823.0	9789.0	2304.208955223881
16	3729.0	53.0	1183.0	7882.0	518.0	9877.0	3029.7960199004974
17	3692.0	14.0	1679.0	6744.0	884.0	7740.0	20.134328358208954
18	3434.0	16.0	1960.0	6223.0	302.0	7138.0	537.3681592039801
19	3552.0	14.0	1707.0	6588.0	27.0	7339.0	131.92039800995025
20	4171.0	13.0	1825.0	6876.0	838.0	5705.0	98.74626865671642
21	2978.0	14.0	2135.0	8056.0	662.0	5582.0	71.636815920398
22	4071.0	17.0	1717.0	6846.0	629.0	8360.0	58.243781094527364
23	3973.0	16.0	2078.0	7074.0	593.0	7558.0	87.97512437810946
24	3990.0	13.0	1800.0	6911.0	366.0	7787.0	28.567164179104477
25	4390.0	30.0	1266.0	7358.0	323.0	9651.0	1130.960199004975
26	3714.0	13.0	2107.0	6913.0	753.0	5844.0	27.313432835820894
27	5254.0	38.0	1118.0	12409.0	960.0	9898.0	801.9303482587064
28	3856.0	17.0	1501.0	7209.0	87.0	7263.0	78.97512437810946
29	3763.0	27.0	1925.0	6634.0	799.0	8861.0	387.06467661691545
30	3587.0	21.0	1431.0	6392.0	944.0	6793.0	1005.5124378109452
31	3427.0	16.0	1695.0	7309.0	390.0	7194.0	166.45771144278606
